cell_number,treatment,run,surviving_cells,max_virophage_amplitude,max_virus_amplitude,t_extinction
8,2,55,992,2048,1339,23384
8,2,99,914,24337,2309,20959
8,2,52,889,18659,3935,17648
8,2,64,963,4553,2033,18773
8,2,90,986,5919,1744,13695
8,2,97,956,13649,1991,14570
8,2,63,923,14053,3023,15381
8,2,37,1000,4396,950,20616
8,2,30,1008,2048,1060,16217
8,2,39,1000,2048,1247,17354
8,2,62,1016,2048,866,13556
8,2,96,962,11186,1719,20461
8,2,91,960,12856,1954,17023
8,2,65,926,22720,2248,18304
8,2,98,950,9231,2073,24555
8,2,53,1000,8117,1332,13567
8,2,54,907,21180,3153,18091
8,2,38,1008,2048,1051,16746
8,2,31,962,12988,1399,17045
8,2,36,920,15429,3005,18295
8,2,14,886,22040,3931,17664
8,2,13,912,6847,2287,25952
8,2,25,998,3018,1823,13961
8,2,22,1008,2048,923,17114
8,2,76,982,10136,1185,16375
8,2,82,936,7435,2799,19422
8,2,49,976,9524,1429,22681
8,2,85,976,9566,1996,14742
8,2,71,966,7347,1375,19969
8,2,47,1008,5853,959,16054
8,2,78,944,9811,2415,24922
8,2,40,904,17520,3109,21627
8,2,23,968,12381,1609,16541
8,2,24,892,12753,3119,21327
8,2,12,1006,11375,643,13156
8,2,15,989,2868,1613,16503
8,2,41,992,10301,1167,13524
8,2,46,940,18247,1707,21692
8,2,79,957,11832,2078,17644
8,2,70,878,15502,3289,22288
8,2,84,986,10108,1135,15179
8,2,83,953,19473,1827,16026
8,2,77,1016,3667,556,17134
8,2,48,969,7646,1772,18159
8,2,2,858,22906,3654,24062
8,2,5,892,34881,2312,18912
8,2,4,919,12193,2519,23597
8,2,3,916,13088,2692,23165
8,2,100,976,2048,2391,16296
8,2,33,912,11740,3616,16726
8,2,34,944,16028,2466,18576
8,2,51,891,36905,3202,16768
8,2,69,968,2048,2328,16992
8,2,56,880,12069,4416,19959
8,2,94,908,23215,3387,18037
8,2,60,1000,4380,1033,16881
8,2,58,885,20338,3145,20152
8,2,67,960,12575,2233,17146
8,2,93,930,10945,2768,21005
8,2,35,984,4491,2187,13089
8,2,32,969,13385,1883,14839
8,2,59,963,11547,1869,17440
8,2,92,1008,2048,1173,14378
8,2,66,952,12185,1429,23364
8,2,61,921,18533,2683,17696
8,2,95,962,16640,1563,16262
8,2,68,945,10098,2104,19330
8,2,57,992,2047,1598,15176
8,2,50,952,5510,3007,18451
8,2,86,1000,8506,953,17941
8,2,72,1000,4411,1001,17167
8,2,75,965,14896,1318,17183
8,2,81,944,15357,2036,16355
8,2,43,912,32448,2470,15473
8,2,88,920,13430,3488,20061
8,2,44,800,15753,5353,24795
8,2,10,944,12492,2342,16580
8,2,28,992,7862,1439,12767
8,2,17,952,16258,2081,17908
8,2,21,984,9841,1769,13216
8,2,19,968,4883,1941,17217
8,2,26,920,2048,2697,24699
8,2,45,1000,2047,1707,12462
8,2,42,918,4744,3563,18484
8,2,89,960,4484,1716,23714
8,2,80,992,13851,1367,12169
8,2,74,1008,2129,1052,14282
8,2,73,954,7006,2629,15617
8,2,87,1000,7315,1113,14692
8,2,18,988,10093,1621,13226
8,2,27,949,10152,1721,21145
8,2,20,923,18489,1748,19123
8,2,29,976,4414,2815,14873
8,2,16,942,13251,2200,17422
8,2,11,947,18110,1795,21229
8,2,6,1000,2048,1300,16109
8,2,1,992,10051,1201,15105
8,2,8,984,11091,1231,14674
8,2,9,965,5566,1831,21272
8,2,7,1008,6656,793,14396
1,1,55,382,74670,6998,84100
1,1,99,533,72944,6832,94931
