time,uninfected,infected_Gv,infected_exo_Vp,infected_endo_Vp,infected_Gv_Vp,infected_endo_Vp_Gv,infected_endo_exo_Vp,infected_Gv_endo_exo_Vp,cells,viruses,virophages
1,1024,0,0,0,0,0,0,0,1024,512,2048
2,1024,0,0,0,0,0,0,0,1024,512,2048
3,1024,0,0,0,0,0,0,0,1024,512,2048
4,1025,0,0,0,0,0,0,0,1025,512,2048
5,1025,0,0,0,0,0,0,0,1025,512,2048
6,1025,0,0,0,0,0,0,0,1025,512,2048
7,1025,0,0,0,0,0,0,0,1025,512,2048
8,1025,0,0,0,0,0,0,0,1025,512,2048
9,1024,0,0,1,0,0,0,0,1025,512,2047
10,1025,0,0,1,0,0,0,0,1026,512,2047
11,1026,0,0,1,0,0,0,0,1027,512,2047
12,1026,0,0,1,0,0,0,0,1027,512,2047
13,1026,0,0,1,0,0,0,0,1027,512,2047
14,1026,0,0,1,0,0,0,0,1027,512,2047
15,1027,0,0,1,0,0,0,0,1028,512,2047
16,1027,0,0,1,0,0,0,0,1028,512,2047
17,1027,0,0,1,0,0,0,0,1028,512,2047
18,1027,0,0,1,0,0,0,0,1028,512,2047
19,1027,0,0,1,0,0,0,0,1028,512,2047
20,1028,0,0,1,0,0,0,0,1029,512,2047
21,1029,0,0,1,0,0,0,0,1030,512,2047
22,1029,0,0,1,0,0,0,0,1030,512,2046
23,1029,0,0,1,0,0,0,0,1030,512,2046
24,1029,0,0,1,0,0,0,0,1030,512,2046
25,1029,0,0,1,0,0,0,0,1030,512,2046
26,1029,0,0,1,0,0,0,0,1030,512,2046
27,1029,0,0,1,0,0,0,0,1030,512,2046
28,1030,0,0,1,0,0,0,0,1031,512,2046
29,1030,0,0,1,0,0,0,0,1031,512,2046
30,1030,0,0,1,0,0,0,0,1031,512,2046
31,1030,0,0,1,0,0,0,0,1031,512,2046
32,1030,0,0,1,0,0,0,0,1031,512,2046
33,1030,0,0,1,0,0,0,0,1031,512,2046
34,1031,0,0,1,0,0,0,0,1032,512,2046
35,1031,0,0,1,0,0,0,0,1032,512,2046
36,1032,0,0,1,0,0,0,0,1033,512,2046
37,1032,0,0,1,0,0,0,0,1033,512,2046
38,1032,0,0,1,0,0,0,0,1033,512,2046
39,1032,0,0,1,0,0,0,0,1033,512,2046
40,1032,0,0,1,0,0,0,0,1033,512,2046
41,1032,0,0,1,0,0,0,0,1033,512,2046
42,1032,0,0,1,0,0,0,0,1033,512,2046
43,1032,0,0,1,0,0,0,0,1033,512,2046
44,1032,0,0,1,0,0,0,0,1033,512,2046
45,1032,0,0,1,0,0,0,0,1033,512,2046
46,1033,0,0,1,0,0,0,0,1034,512,2046
47,1034,0,0,1,0,0,0,0,1035,512,2046
48,1034,0,0,1,0,0,0,0,1035,512,2046
49,1034,0,0,1,0,0,0,0,1035,512,2046
50,1035,0,0,1,0,0,0,0,1036,512,2046
51,1035,0,0,1,0,0,0,0,1036,512,2046
52,1035,0,0,1,0,0,0,0,1036,512,2046
53,1035,0,0,1,0,0,0,0,1036,512,2046
54,1035,0,0,1,0,0,0,0,1036,512,2046
55,1035,0,0,1,0,0,0,0,1036,512,2046
56,1035,0,0,1,0,0,0,0,1036,512,2046
57,1035,0,0,1,0,0,0,0,1036,512,2046
58,1035,0,0,1,0,0,0,0,1036,512,2046
59,1035,0,0,1,0,0,0,0,1036,512,2046
60,1035,0,0,1,0,0,0,0,1036,512,2046
61,1035,0,0,1,0,0,0,0,1036,512,2046
62,1035,0,0,1,0,0,0,0,1036,512,2046
63,1036,0,0,1,0,0,0,0,1037,512,2046
64,1037,0,0,1,0,0,0,0,1038,512,2046
65,1037,0,0,1,0,0,0,0,1038,512,2046
66,1037,0,0,1,0,0,0,0,1038,512,2046
67,1037,0,0,1,0,0,0,0,1038,512,2046
68,1037,0,0,1,0,0,0,0,1038,512,2046
69,1037,0,0,1,0,0,0,0,1038,512,2046
70,1038,0,0,1,0,0,0,0,1039,512,2046
71,1039,0,0,1,0,0,0,0,1040,512,2046
72,1039,0,0,1,0,0,0,0,1040,512,2046
73,1040,0,0,1,0,0,0,0,1041,512,2046
74,1041,0,0,1,0,0,0,0,1042,512,2046
75,1041,0,0,1,0,0,0,0,1042,512,2046
76,1041,0,0,1,0,0,0,0,1042,512,2046
77,1041,0,0,1,0,0,0,0,1042,512,2046
78,1041,0,0,1,0,0,0,0,1042,512,2046
79,1041,0,0,1,0,0,0,0,1042,512,2046
80,1043,0,0,1,0,0,0,0,1044,512,2046
81,1045,0,0,1,0,0,0,0,1046,512,2046
82,1045,0,0,1,0,0,0,0,1046,512,2046
83,1045,0,0,1,0,0,0,0,1046,512,2046
84,1046,0,0,1,0,0,0,0,1047,512,2046
85,1046,0,0,1,0,0,0,0,1047,512,2046
86,1047,0,0,1,0,0,0,0,1048,512,2046
87,1048,0,0,1,0,0,0,0,1049,512,2046
88,1048,0,0,1,0,0,0,0,1049,512,2046
89,1048,0,0,1,0,0,0,0,1049,512,2046
90,1048,0,0,1,0,0,0,0,1049,512,2046
91,1049,0,0,1,0,0,0,0,1050,512,2046
92,1049,0,0,1,0,0,0,0,1050,512,2046
93,1049,0,0,1,0,0,0,0,1050,512,2046
94,1050,0,0,1,0,0,0,0,1051,512,2046
95,1050,0,0,1,0,0,0,0,1051,512,2046
