time,uninfected,infected_Gv,infected_exo_Vp,infected_endo_Vp,infected_Gv_Vp,infected_endo_Vp_Gv,infected_endo_exo_Vp,infected_Gv_endo_exo_Vp,cells,viruses,virophages
1,1024,0,0,0,0,0,0,0,1024,512,2048
2,1024,0,0,0,0,0,0,0,1024,512,2048
3,1024,0,0,0,0,0,0,0,1024,512,2048
4,1025,0,0,0,0,0,0,0,1025,512,2048
5,1025,0,0,0,0,0,0,0,1025,512,2048
6,1025,0,0,0,0,0,0,0,1025,512,2048
7,1025,0,0,0,0,0,0,0,1025,512,2048
8,1025,0,0,0,0,0,0,0,1025,512,2048
9,1025,0,0,0,0,0,0,0,1025,512,2048
10,1026,0,0,0,0,0,0,0,1026,512,2048
11,1027,0,0,0,0,0,0,0,1027,512,2048
12,1027,0,0,0,0,0,0,0,1027,512,2048
13,1027,0,0,0,0,0,0,0,1027,512,2048
14,1027,0,0,0,0,0,0,0,1027,512,2048
15,1029,0,0,0,0,0,0,0,1029,512,2048
16,1029,0,0,0,0,0,0,0,1029,512,2048
17,1029,0,0,0,0,0,0,0,1029,512,2048
18,1029,0,0,0,0,0,0,0,1029,512,2048
19,1029,0,0,0,0,0,0,0,1029,512,2048
20,1030,0,0,0,0,0,0,0,1030,512,2048
21,1031,0,0,0,0,0,0,0,1031,512,2048
22,1031,0,0,0,0,0,0,0,1031,512,2047
23,1031,0,0,0,0,0,0,0,1031,512,2047
24,1031,0,0,0,0,0,0,0,1031,512,2047
25,1031,0,0,0,0,0,0,0,1031,512,2047
26,1031,0,0,0,0,0,0,0,1031,512,2047
27,1030,0,1,0,0,0,0,0,1031,512,2046
28,1031,0,1,0,0,0,0,0,1032,512,2046
29,1031,0,1,0,0,0,0,0,1032,512,2046
30,1031,0,1,0,0,0,0,0,1032,512,2046
31,1031,0,0,1,0,0,0,0,1032,512,2046
32,1031,0,0,1,0,0,0,0,1032,512,2046
33,1031,0,0,1,0,0,0,0,1032,512,2046
34,1032,0,0,1,0,0,0,0,1033,512,2046
35,1032,0,0,1,0,0,0,0,1033,512,2046
36,1033,0,0,1,0,0,0,0,1034,512,2046
37,1033,0,0,1,0,0,0,0,1034,512,2046
38,1033,0,0,1,0,0,0,0,1034,512,2046
39,1033,0,0,1,0,0,0,0,1034,512,2046
40,1033,0,0,1,0,0,0,0,1034,512,2046
41,1033,0,0,1,0,0,0,0,1034,512,2046
42,1033,0,0,1,0,0,0,0,1034,512,2046
43,1033,0,0,1,0,0,0,0,1034,512,2046
44,1033,0,0,1,0,0,0,0,1034,512,2046
45,1033,0,0,1,0,0,0,0,1034,512,2046
46,1034,0,0,1,0,0,0,0,1035,512,2046
47,1034,0,0,1,0,0,0,0,1035,512,2046
48,1034,0,0,1,0,0,0,0,1035,512,2046
49,1034,0,0,1,0,0,0,0,1035,512,2046
50,1035,0,0,1,0,0,0,0,1036,512,2046
51,1035,0,0,1,0,0,0,0,1036,512,2046
52,1035,0,0,1,0,0,0,0,1036,512,2046
53,1035,0,0,1,0,0,0,0,1036,512,2046
54,1035,0,0,1,0,0,0,0,1036,512,2046
55,1035,0,0,1,0,0,0,0,1036,512,2046
56,1035,0,0,1,0,0,0,0,1036,512,2046
57,1035,0,0,1,0,0,0,0,1036,512,2046
58,1035,0,0,1,0,0,0,0,1036,512,2046
59,1035,0,0,1,0,0,0,0,1036,512,2046
60,1036,0,0,1,0,0,0,0,1037,512,2046
61,1035,0,1,1,0,0,0,0,1037,512,2045
62,1034,0,2,1,0,0,0,0,1037,512,2044
63,1035,0,2,1,0,0,0,0,1038,512,2044
64,1035,0,1,2,0,0,0,0,1038,512,2044
65,1035,0,0,3,0,0,0,0,1038,512,2044
66,1035,0,0,3,0,0,0,0,1038,512,2044
67,1035,0,0,3,0,0,0,0,1038,512,2044
68,1035,0,0,3,0,0,0,0,1038,512,2044
69,1035,0,0,3,0,0,0,0,1038,512,2044
70,1036,0,0,3,0,0,0,0,1039,512,2044
71,1036,0,0,3,0,0,0,0,1039,512,2044
72,1036,0,0,3,0,0,0,0,1039,512,2044
73,1037,0,0,3,0,0,0,0,1040,512,2044
74,1038,0,0,3,0,0,0,0,1041,512,2044
75,1038,0,0,3,0,0,0,0,1041,512,2044
76,1038,0,0,3,0,0,0,0,1041,512,2044
77,1038,0,0,3,0,0,0,0,1041,512,2044
78,1038,0,0,3,0,0,0,0,1041,512,2044
79,1038,0,0,3,0,0,0,0,1041,512,2044
80,1040,0,0,3,0,0,0,0,1043,512,2044
81,1042,0,0,3,0,0,0,0,1045,512,2044
82,1042,0,0,3,0,0,0,0,1045,512,2044
83,1041,0,1,3,0,0,0,0,1045,512,2043
84,1042,0,1,3,0,0,0,0,1046,512,2043
85,1042,0,1,3,0,0,0,0,1046,512,2043
86,1043,0,1,3,0,0,0,0,1047,512,2043
87,1044,0,1,3,0,0,0,0,1048,512,2043
88,1044,0,0,4,0,0,0,0,1048,512,2043
89,1044,0,0,4,0,0,0,0,1048,512,2043
90,1044,0,0,4,0,0,0,0,1048,512,2043
91,1045,0,0,4,0,0,0,0,1049,512,2043
92,1045,0,0,4,0,0,0,0,1049,512,2043
93,1045,0,0,4,0,0,0,0,1049,512,2043
94,1044,0,1,4,0,0,0,0,1049,512,2042
95,1045,0,1,4,0,0,0,0,1050,512,2042
